sample	unit	fq1	fq2
S01	1	results/raw_data/fastq/SAGCFN_23_00397_S1_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00397_S1_R2_001.fastq.gz
S02	1	results/raw_data/fastq/SAGCFN_23_00398_S2_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00398_S2_R2_001.fastq.gz
S03	1	results/raw_data/fastq/SAGCFN_23_00399_S3_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00399_S3_R2_001.fastq.gz
S04	1	results/raw_data/fastq/SAGCFN_23_00400_S4_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00400_S4_R2_001.fastq.gz
S05	1	results/raw_data/fastq/SAGCFN_23_00401_S5_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00401_S5_R2_001.fastq.gz
S06	1	results/raw_data/fastq/SAGCFN_23_00402_S6_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00402_S6_R2_001.fastq.gz
S07	1	results/raw_data/fastq/SAGCFN_23_00403_S7_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00403_S7_R2_001.fastq.gz
S08	1	results/raw_data/fastq/SAGCFN_23_00404_S8_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00404_S8_R2_001.fastq.gz
S09	1	results/raw_data/fastq/SAGCFN_23_00405_S9_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00405_S9_R2_001.fastq.gz
S10	1	results/raw_data/fastq/SAGCFN_23_00406_S10_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00406_S10_R2_001.fastq.gz
S11	1	results/raw_data/fastq/SAGCFN_23_00407_S11_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00407_S11_R2_001.fastq.gz
S12	1	results/raw_data/fastq/SAGCFN_23_00408_S12_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00408_S12_R2_001.fastq.gz
S13	1	results/raw_data/fastq/SAGCFN_23_00409_S13_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00409_S13_R2_001.fastq.gz
S14	1	results/raw_data/fastq/SAGCFN_23_00410_S14_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00410_S14_R2_001.fastq.gz
S15	1	results/raw_data/fastq/SAGCFN_23_00411_S15_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00411_S15_R2_001.fastq.gz
S16	1	results/raw_data/fastq/SAGCFN_23_00412_S16_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00412_S16_R2_001.fastq.gz
S17	1	results/raw_data/fastq/SAGCFN_23_00413_S17_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00413_S17_R2_001.fastq.gz
S18	1	results/raw_data/fastq/SAGCFN_23_00414_S18_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00414_S18_R2_001.fastq.gz
S19	1	results/raw_data/fastq/SAGCFN_23_00415_S19_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00415_S19_R2_001.fastq.gz
S20	1	results/raw_data/fastq/SAGCFN_23_00416_S20_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00416_S20_R2_001.fastq.gz
S21	1	results/raw_data/fastq/SAGCFN_23_00417_S21_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00417_S21_R2_001.fastq.gz
S22	1	results/raw_data/fastq/SAGCFN_23_00418_S22_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00418_S22_R2_001.fastq.gz
S23	1	results/raw_data/fastq/SAGCFN_23_00419_S23_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00419_S23_R2_001.fastq.gz
S24	1	results/raw_data/fastq/SAGCFN_23_00420_S24_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00420_S24_R2_001.fastq.gz
S25	1	results/raw_data/fastq/SAGCFN_23_00421_S25_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00421_S25_R2_001.fastq.gz
S26	1	results/raw_data/fastq/SAGCFN_23_00422_S26_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00422_S26_R2_001.fastq.gz
S27	1	results/raw_data/fastq/SAGCFN_23_00423_S27_R1_001.fastq.gz	results/raw_data/fastq/SAGCFN_23_00423_S27_R2_001.fastq.gz
