UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1448	1205
0	1203
0	1204
2767	1734
0	1733
42	57
805	2
451	1
130	56
0	7
0	3
0	56
6	0
1142	3
0	3
0	3
292	24712
59	25076
5	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	54
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	27
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	54
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	50
0	0
0	0
0	0
0	32
0	0
0	0
0	0
0	0
0	0
0	397
71	397
23	0
356	0
0	0
0	0
0	0
291	0
1040	0
0	26
0	26
27	12
0	12
0	296
0	691
86	691
321	36
0	36
19	291
308	291
10	1546
0	100
0	1518
218	9060
0	6648
83	8654
4366	774
0	399
0	388
64	624
53	624
0	157
7	1788
11	319
0	175
2	1726
2578	4
155	0
0	0
37	0
0	915
503	915
252	0
1304	0
0	0
260	0
0	0
1255	575
62	0
7	13
70	20
0	7
57	108
2	48
0	60
1574	1
85	103
0	103
0	0
0	1
0	36
71	36
2858	1405
0	1123
0	510
9	35
88	1428
0	1349
0	140
0	64
0	92
0	771
0	756
7	670
0	756
7	6
355	695
673	0
0	4609
255	5723
1	2464
656	5721
4564	1
0	0
503	65
0	494
0	81
0	545
125	1133
2	1056
52	362
388	362
71	5
265	5
1168	2
0	3
3	3
1219	16
0	16
22463	26634
0	214
0	26475
4	20620
0	26539
0	21694
0	270
0	273
4	270
0	14
0	0
0	24
0	25
0	24
0	5192
0	2183
225	5719
11	45
0	45
0	0
0	0
0	0
29	0
145	0
0	255
0	146
0	76
42	1152
5	1093
5	48
0	1144
0	885
141	888
8	5972
105	6243
0	6243
0	0
1776	1763
0	1400
6	363
135	0
312	483
0	124
0	1
0	30
0	1
0	1
42	9735
0	9735
