## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/group_umis/bam/S02_1_paired_end.bam --OUTPUT results/mark_duplicates/bam/S02_umi.bam --METRICS_FILE results/mark_duplicates/log/S02_umi.metrics.txt --TMP_DIR /mnt/tmp_local/lls_2382394/tmp3qi0agjb --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jun 28 14:27:05 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1	59594821	7181914	0	1	40777263	0	0.684242	19792136

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	5121297	5121297
2.0	1.049241	3885381	3885381
3.0	1.051665	3196308	3196308
4.0	1.051785	2419219	2419219
5.0	1.051791	1674683	1674683
6.0	1.051791	1069297	1069297
7.0	1.051791	636713	636713
8.0	1.051791	358058	358058
9.0	1.051791	193676	193676
10.0	1.051791	101960	101960
11.0	1.051791	54502	54502
12.0	1.051791	29952	29952
13.0	1.051791	17658	17658
14.0	1.051791	11451	11451
15.0	1.051791	7933	7933
16.0	1.051791	5813	5813
17.0	1.051791	4540	4540
18.0	1.051791	3596	3596
19.0	1.051791	2863	2863
20.0	1.051791	2451	2451
21.0	1.051791	2031	2031
22.0	1.051791	1735	1735
23.0	1.051791	1505	1505
24.0	1.051791	1284	1284
25.0	1.051791	1155	1155
26.0	1.051791	960	960
27.0	1.051791	846	846
28.0	1.051791	835	835
29.0	1.051791	663	663
30.0	1.051791	647	647
31.0	1.051791	552	552
32.0	1.051791	466	466
33.0	1.051791	449	449
34.0	1.051791	396	396
35.0	1.051791	392	392
36.0	1.051791	348	348
37.0	1.051791	321	321
38.0	1.051791	304	304
39.0	1.051791	275	275
40.0	1.051791	268	268
41.0	1.051791	241	241
42.0	1.051791	221	221
43.0	1.051791	212	212
44.0	1.051791	211	211
45.0	1.051791	147	147
46.0	1.051791	153	153
47.0	1.051791	136	136
48.0	1.051791	163	163
49.0	1.051791	133	133
50.0	1.051791	132	132
51.0	1.051791	127	127
52.0	1.051791	123	123
53.0	1.051791	103	103
54.0	1.051791	91	91
55.0	1.051791	97	97
56.0	1.051791	94	94
57.0	1.051791	85	85
58.0	1.051791	87	87
59.0	1.051791	79	79
60.0	1.051791	62	62
61.0	1.051791	67	67
62.0	1.051791	68	68
63.0	1.051791	74	74
64.0	1.051791	67	67
65.0	1.051791	49	49
66.0	1.051791	58	58
67.0	1.051791	40	40
68.0	1.051791	64	64
69.0	1.051791	44	44
70.0	1.051791	41	41
71.0	1.051791	34	34
72.0	1.051791	48	48
73.0	1.051791	31	31
74.0	1.051791	40	40
75.0	1.051791	34	34
76.0	1.051791	43	43
77.0	1.051791	46	46
78.0	1.051791	25	25
79.0	1.051791	29	29
80.0	1.051791	36	36
81.0	1.051791	31	31
82.0	1.051791	33	33
83.0	1.051791	34	34
84.0	1.051791	27	27
85.0	1.051791	21	21
86.0	1.051791	21	21
87.0	1.051791	34	34
88.0	1.051791	25	25
