## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/group_umis/bam/S03_1_paired_end.bam --OUTPUT results/mark_duplicates/bam/S03_umi.bam --METRICS_FILE results/mark_duplicates/log/S03_umi.metrics.txt --TMP_DIR /mnt/tmp_local/lls_2382492/tmp_q4yjc_w --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jun 28 15:06:17 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1	74519689	10236986	0	1	46630175	0	0.625743	30556033

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	9412516	9412516
2.0	1.087267	6700940	6700940
3.0	1.094882	4785421	4785421
4.0	1.095547	3094251	3094251
5.0	1.095605	1820105	1820105
6.0	1.09561	988320	988320
7.0	1.09561	506469	506469
8.0	1.09561	251426	251426
9.0	1.09561	123791	123791
10.0	1.09561	63510	63510
11.0	1.09561	35489	35489
12.0	1.09561	22216	22216
13.0	1.09561	14817	14817
14.0	1.09561	10824	10824
15.0	1.09561	8395	8395
16.0	1.09561	6548	6548
17.0	1.09561	5244	5244
18.0	1.09561	4320	4320
19.0	1.09561	3568	3568
20.0	1.09561	3055	3055
21.0	1.09561	2511	2511
22.0	1.09561	2272	2272
23.0	1.09561	1996	1996
24.0	1.09561	1805	1805
25.0	1.09561	1468	1468
26.0	1.09561	1365	1365
27.0	1.09561	1221	1221
28.0	1.09561	1064	1064
29.0	1.09561	951	951
30.0	1.09561	862	862
31.0	1.09561	815	815
32.0	1.09561	714	714
33.0	1.09561	660	660
34.0	1.09561	553	553
35.0	1.09561	569	569
36.0	1.09561	454	454
37.0	1.09561	483	483
38.0	1.09561	459	459
39.0	1.09561	396	396
40.0	1.09561	385	385
41.0	1.09561	328	328
42.0	1.09561	313	313
43.0	1.09561	290	290
44.0	1.09561	299	299
45.0	1.09561	265	265
46.0	1.09561	262	262
47.0	1.09561	244	244
48.0	1.09561	215	215
49.0	1.09561	202	202
50.0	1.09561	219	219
51.0	1.09561	187	187
52.0	1.09561	190	190
53.0	1.09561	150	150
54.0	1.09561	159	159
55.0	1.09561	141	141
56.0	1.09561	143	143
57.0	1.09561	127	127
58.0	1.09561	107	107
59.0	1.09561	113	113
60.0	1.09561	116	116
61.0	1.09561	112	112
62.0	1.09561	94	94
63.0	1.09561	87	87
64.0	1.09561	95	95
65.0	1.09561	87	87
66.0	1.09561	84	84
67.0	1.09561	76	76
68.0	1.09561	64	64
69.0	1.09561	70	70
70.0	1.09561	81	81
71.0	1.09561	66	66
72.0	1.09561	77	77
73.0	1.09561	76	76
74.0	1.09561	67	67
75.0	1.09561	63	63
76.0	1.09561	67	67
77.0	1.09561	62	62
78.0	1.09561	54	54
79.0	1.09561	38	38
80.0	1.09561	37	37
81.0	1.09561	34	34
82.0	1.09561	41	41
83.0	1.09561	40	40
84.0	1.09561	38	38
85.0	1.09561	45	45
86.0	1.09561	43	43
87.0	1.09561	26	26
88.0	1.09561	25	25
89.0	1.09561	32	32
90.0	1.09561	36	36
91.0	1.09561	37	37
92.0	1.09561	33	33
93.0	1.09561	28	28
94.0	1.09561	27	27
95.0	1.09561	22	22
96.0	1.09561	24	24
97.0	1.09561	21	21
98.0	1.09561	28	28
99.0	1.09561	30	30
100.0	1.09561	32	32
101.0	0	20	20
102.0	0	28	28
103.0	0	25	25
104.0	0	21	21
105.0	0	20	20
106.0	0	23	23
107.0	0	26	26
108.0	0	23	23
109.0	0	24	24
110.0	0	10	10
111.0	0	25	25
112.0	0	19	19
113.0	0	11	11
114.0	0	15	15
115.0	0	19	19
116.0	0	23	23
117.0	0	13	13
118.0	0	15	15
119.0	0	13	13
120.0	0	14	14
121.0	0	15	15
122.0	0	12	12
123.0	0	18	18
124.0	0	14	14
125.0	0	7	7
126.0	0	6	6
127.0	0	13	13
128.0	0	13	13
129.0	0	14	14
130.0	0	13	13
131.0	0	13	13
132.0	0	10	10
133.0	0	15	15
134.0	0	10	10
135.0	0	13	13
136.0	0	14	14
137.0	0	11	11
138.0	0	1	1
139.0	0	11	11
140.0	0	4	4
141.0	0	7	7
142.0	0	7	7
143.0	0	6	6
144.0	0	11	11
145.0	0	10	10
146.0	0	6	6
