## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/group_umis/bam/S09_1_paired_end.bam --OUTPUT results/mark_duplicates/bam/S09_umi.bam --METRICS_FILE results/mark_duplicates/log/S09_umi.metrics.txt --TMP_DIR /mnt/tmp_local/lls_2382411/tmp2xvd3u8u --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jun 28 14:48:38 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	65202773	8363574	0	0	48198446	0	0.739209	17416497

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	3677659	3677659
2.0	1.023665	2811848	2811848
3.0	1.024226	2620522	2620522
4.0	1.024239	2274709	2274709
5.0	1.024239	1816537	1816537
6.0	1.024239	1345980	1345980
7.0	1.024239	928813	928813
8.0	1.024239	602291	602291
9.0	1.024239	370079	370079
10.0	1.024239	218841	218841
11.0	1.024239	125385	125385
12.0	1.024239	71163	71163
13.0	1.024239	40707	40707
14.0	1.024239	24442	24442
15.0	1.024239	15453	15453
16.0	1.024239	10526	10526
17.0	1.024239	7393	7393
18.0	1.024239	5583	5583
19.0	1.024239	4435	4435
20.0	1.024239	3540	3540
21.0	1.024239	2946	2946
22.0	1.024239	2491	2491
23.0	1.024239	2267	2267
24.0	1.024239	1835	1835
25.0	1.024239	1635	1635
26.0	1.024239	1371	1371
27.0	1.024239	1275	1275
28.0	1.024239	1094	1094
29.0	1.024239	957	957
30.0	1.024239	867	867
31.0	1.024239	773	773
32.0	1.024239	728	728
33.0	1.024239	597	597
34.0	1.024239	556	556
35.0	1.024239	511	511
36.0	1.024239	500	500
37.0	1.024239	454	454
38.0	1.024239	395	395
39.0	1.024239	369	369
40.0	1.024239	316	316
41.0	1.024239	347	347
42.0	1.024239	298	298
43.0	1.024239	270	270
44.0	1.024239	273	273
45.0	1.024239	235	235
46.0	1.024239	224	224
47.0	1.024239	195	195
48.0	1.024239	198	198
49.0	1.024239	168	168
50.0	1.024239	187	187
51.0	1.024239	150	150
52.0	1.024239	158	158
53.0	1.024239	157	157
54.0	1.024239	134	134
55.0	1.024239	131	131
56.0	1.024239	136	136
57.0	1.024239	148	148
58.0	1.024239	95	95
59.0	1.024239	84	84
60.0	1.024239	112	112
61.0	1.024239	84	84
62.0	1.024239	94	94
63.0	1.024239	83	83
64.0	1.024239	73	73
65.0	1.024239	84	84
66.0	1.024239	84	84
67.0	1.024239	62	62
68.0	1.024239	69	69
69.0	1.024239	68	68
70.0	1.024239	62	62
71.0	1.024239	61	61
72.0	1.024239	58	58
73.0	1.024239	58	58
74.0	1.024239	54	54
75.0	1.024239	55	55
76.0	1.024239	41	41
77.0	1.024239	52	52
78.0	1.024239	52	52
79.0	1.024239	37	37
80.0	1.024239	44	44
81.0	1.024239	45	45
82.0	1.024239	45	45
83.0	1.024239	38	38
84.0	1.024239	20	20
85.0	1.024239	50	50
86.0	1.024239	38	38
87.0	1.024239	21	21
88.0	1.024239	26	26
