## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/group_umis/bam/S11_1_paired_end.bam --OUTPUT results/mark_duplicates/bam/S11_umi.bam --METRICS_FILE results/mark_duplicates/log/S11_umi.metrics.txt --TMP_DIR /mnt/tmp_local/lls_2382477/tmpd6c4crjc --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jun 28 14:55:40 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	9	68358852	14997031	0	8	45344509	0	0.66333	24524675

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	6781126	6781126
2.0	1.061584	5126117	5126117
3.0	1.065377	4018985	4018985
4.0	1.06561	2841073	2841073
5.0	1.065625	1827849	1827849
6.0	1.065626	1082381	1082381
7.0	1.065626	599723	599723
8.0	1.065626	317203	317203
9.0	1.065626	163082	163082
10.0	1.065626	85316	85316
11.0	1.065626	46491	46491
12.0	1.065626	27423	27423
13.0	1.065626	17521	17521
14.0	1.065626	12305	12305
15.0	1.065626	9213	9213
16.0	1.065626	7165	7165
17.0	1.065626	5866	5866
18.0	1.065626	4773	4773
19.0	1.065626	3992	3992
20.0	1.065626	3270	3270
21.0	1.065626	2840	2840
22.0	1.065626	2428	2428
23.0	1.065626	2248	2248
24.0	1.065626	1962	1962
25.0	1.065626	1688	1688
26.0	1.065626	1529	1529
27.0	1.065626	1362	1362
28.0	1.065626	1218	1218
29.0	1.065626	1128	1128
30.0	1.065626	1042	1042
31.0	1.065626	937	937
32.0	1.065626	822	822
33.0	1.065626	770	770
34.0	1.065626	723	723
35.0	1.065626	692	692
36.0	1.065626	623	623
37.0	1.065626	585	585
38.0	1.065626	528	528
39.0	1.065626	468	468
40.0	1.065626	433	433
41.0	1.065626	450	450
42.0	1.065626	419	419
43.0	1.065626	347	347
44.0	1.065626	340	340
45.0	1.065626	295	295
46.0	1.065626	311	311
47.0	1.065626	285	285
48.0	1.065626	264	264
49.0	1.065626	273	273
50.0	1.065626	258	258
51.0	1.065626	219	219
52.0	1.065626	202	202
53.0	1.065626	192	192
54.0	1.065626	212	212
55.0	1.065626	194	194
56.0	1.065626	206	206
57.0	1.065626	169	169
58.0	1.065626	159	159
59.0	1.065626	159	159
60.0	1.065626	139	139
61.0	1.065626	119	119
62.0	1.065626	117	117
63.0	1.065626	140	140
64.0	1.065626	129	129
65.0	1.065626	105	105
66.0	1.065626	105	105
67.0	1.065626	101	101
68.0	1.065626	115	115
69.0	1.065626	92	92
70.0	1.065626	96	96
71.0	1.065626	94	94
72.0	1.065626	74	74
73.0	1.065626	82	82
74.0	1.065626	86	86
75.0	1.065626	79	79
76.0	1.065626	66	66
77.0	1.065626	77	77
78.0	1.065626	73	73
79.0	1.065626	56	56
80.0	1.065626	43	43
81.0	1.065626	60	60
82.0	1.065626	65	65
83.0	1.065626	49	49
84.0	1.065626	61	61
85.0	1.065626	71	71
86.0	1.065626	49	49
87.0	1.065626	51	51
88.0	1.065626	37	37
89.0	1.065626	46	46
90.0	1.065626	45	45
91.0	1.065626	43	43
92.0	1.065626	49	49
93.0	1.065626	33	33
94.0	1.065626	28	28
95.0	1.065626	44	44
96.0	1.065626	40	40
97.0	1.065626	29	29
98.0	1.065626	34	34
99.0	1.065626	31	31
100.0	1.065626	36	36
101.0	0	37	37
102.0	0	37	37
103.0	0	28	28
104.0	0	32	32
105.0	0	30	30
106.0	0	28	28
107.0	0	30	30
108.0	0	31	31
109.0	0	37	37
110.0	0	30	30
111.0	0	36	36
112.0	0	24	24
113.0	0	20	20
114.0	0	27	27
115.0	0	19	19
116.0	0	24	24
117.0	0	22	22
118.0	0	21	21
119.0	0	14	14
120.0	0	20	20
121.0	0	27	27
122.0	0	15	15
123.0	0	20	20
124.0	0	15	15
125.0	0	11	11
126.0	0	15	15
127.0	0	15	15
128.0	0	14	14
129.0	0	15	15
130.0	0	10	10
131.0	0	16	16
132.0	0	10	10
133.0	0	16	16
134.0	0	10	10
135.0	0	14	14
136.0	0	13	13
137.0	0	14	14
138.0	0	14	14
139.0	0	14	14
140.0	0	13	13
141.0	0	16	16
142.0	0	16	16
143.0	0	11	11
144.0	0	12	12
145.0	0	11	11
146.0	0	11	11
147.0	0	13	13
148.0	0	13	13
149.0	0	14	14
150.0	0	14	14
151.0	0	5	5
152.0	0	16	16
153.0	0	7	7
154.0	0	8	8
155.0	0	6	6
156.0	0	9	9
157.0	0	8	8
158.0	0	5	5
159.0	0	5	5
160.0	0	10	10
161.0	0	9	9
162.0	0	6	6
163.0	0	9	9
164.0	0	8	8
165.0	0	6	6
166.0	0	7	7
167.0	0	3	3
168.0	0	8	8
169.0	0	8	8
170.0	0	8	8
171.0	0	4	4
172.0	0	7	7
173.0	0	2	2
174.0	0	7	7
175.0	0	6	6
176.0	0	10	10
177.0	0	6	6
178.0	0	5	5
179.0	0	5	5
180.0	0	5	5
181.0	0	7	7
182.0	0	3	3
183.0	0	3	3
184.0	0	5	5
185.0	0	3	3
186.0	0	5	5
187.0	0	6	6
188.0	0	4	4
189.0	0	4	4
190.0	0	7	7
191.0	0	4	4
192.0	0	4	4
193.0	0	3	3
194.0	0	3	3
195.0	0	3	3
196.0	0	1	1
197.0	0	4	4
198.0	0	6	6
199.0	0	8	8
200.0	0	4	4
201.0	0	5	5
202.0	0	4	4
203.0	0	1	1
204.0	0	6	6
205.0	0	5	5
206.0	0	3	3
207.0	0	2	2
208.0	0	4	4
209.0	0	1	1
210.0	0	6	6
211.0	0	4	4
212.0	0	1	1
213.0	0	3	3
214.0	0	5	5
215.0	0	2	2
216.0	0	3	3
217.0	0	5	5
218.0	0	2	2
219.0	0	1	1
221.0	0	3	3
222.0	0	4	4
223.0	0	2	2
224.0	0	4	4
225.0	0	4	4
226.0	0	7	7
227.0	0	3	3
228.0	0	1	1
229.0	0	2	2
230.0	0	2	2
231.0	0	6	6
232.0	0	2	2
233.0	0	3	3
234.0	0	3	3
235.0	0	2	2
236.0	0	1	1
237.0	0	2	2
239.0	0	1	1
240.0	0	5	5
242.0	0	5	5
243.0	0	4	4
244.0	0	5	5
245.0	0	2	2
246.0	0	1	1
247.0	0	3	3
248.0	0	2	2
249.0	0	1	1
250.0	0	1	1
251.0	0	3	3
252.0	0	4	4
254.0	0	2	2
255.0	0	1	1
256.0	0	1	1
257.0	0	2	2
258.0	0	3	3
259.0	0	1	1
260.0	0	1	1
261.0	0	3	3
262.0	0	1	1
263.0	0	3	3
264.0	0	2	2
265.0	0	1	1
267.0	0	1	1
268.0	0	1	1
270.0	0	1	1
