## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/group_umis/bam/S12_1_paired_end.bam --OUTPUT results/mark_duplicates/bam/S12_umi.bam --METRICS_FILE results/mark_duplicates/log/S12_umi.metrics.txt --TMP_DIR /mnt/tmp_local/lls_2382406/tmp8fejgie_ --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jun 28 14:41:20 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1	61774278	7221080	0	1	41597572	0	0.67338	21361757

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	5667848	5667848
2.0	1.055475	4346306	4346306
3.0	1.058553	3519983	3519983
4.0	1.058724	2572660	2572660
5.0	1.058733	1706376	1706376
6.0	1.058734	1040490	1040490
7.0	1.058734	591700	591700
8.0	1.058734	320758	320758
9.0	1.058734	167524	167524
10.0	1.058734	87591	87591
11.0	1.058734	47029	47029
12.0	1.058734	26728	26728
13.0	1.058734	16263	16263
14.0	1.058734	11130	11130
15.0	1.058734	8176	8176
16.0	1.058734	6245	6245
17.0	1.058734	4968	4968
18.0	1.058734	3950	3950
19.0	1.058734	3241	3241
20.0	1.058734	2733	2733
21.0	1.058734	2341	2341
22.0	1.058734	2007	2007
23.0	1.058734	1714	1714
24.0	1.058734	1470	1470
25.0	1.058734	1383	1383
26.0	1.058734	1139	1139
27.0	1.058734	1001	1001
28.0	1.058734	921	921
29.0	1.058734	870	870
30.0	1.058734	746	746
31.0	1.058734	698	698
32.0	1.058734	625	625
33.0	1.058734	599	599
34.0	1.058734	498	498
35.0	1.058734	490	490
36.0	1.058734	434	434
37.0	1.058734	402	402
38.0	1.058734	390	390
39.0	1.058734	344	344
40.0	1.058734	349	349
41.0	1.058734	317	317
42.0	1.058734	292	292
43.0	1.058734	262	262
44.0	1.058734	204	204
45.0	1.058734	218	218
46.0	1.058734	227	227
47.0	1.058734	197	197
48.0	1.058734	200	200
49.0	1.058734	183	183
50.0	1.058734	176	176
51.0	1.058734	173	173
52.0	1.058734	159	159
53.0	1.058734	133	133
54.0	1.058734	142	142
55.0	1.058734	129	129
56.0	1.058734	122	122
57.0	1.058734	118	118
58.0	1.058734	109	109
59.0	1.058734	111	111
60.0	1.058734	95	95
61.0	1.058734	80	80
62.0	1.058734	111	111
63.0	1.058734	90	90
64.0	1.058734	77	77
65.0	1.058734	90	90
66.0	1.058734	76	76
67.0	1.058734	67	67
68.0	1.058734	69	69
69.0	1.058734	72	72
70.0	1.058734	58	58
71.0	1.058734	57	57
72.0	1.058734	53	53
73.0	1.058734	65	65
74.0	1.058734	56	56
75.0	1.058734	62	62
76.0	1.058734	46	46
77.0	1.058734	50	50
78.0	1.058734	49	49
79.0	1.058734	32	32
80.0	1.058734	50	50
81.0	1.058734	49	49
82.0	1.058734	37	37
83.0	1.058734	40	40
84.0	1.058734	38	38
85.0	1.058734	50	50
86.0	1.058734	37	37
87.0	1.058734	34	34
88.0	1.058734	40	40
