## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/group_umis/bam/S13_1_paired_end.bam --OUTPUT results/mark_duplicates/bam/S13_umi.bam --METRICS_FILE results/mark_duplicates/log/S13_umi.metrics.txt --TMP_DIR /mnt/tmp_local/lls_2382487/tmp5iy1k78x --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jun 28 15:02:39 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1	73172639	10478924	0	1	47318212	0	0.646665	27873142

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	7939615	7939615
2.0	1.072425	6041505	6041505
3.0	1.07767	4596178	4596178
4.0	1.07805	3110139	3110139
5.0	1.078078	1893378	1893378
6.0	1.07808	1060828	1060828
7.0	1.07808	557512	557512
8.0	1.07808	283296	283296
9.0	1.07808	141405	141405
10.0	1.07808	73107	73107
11.0	1.07808	40354	40354
12.0	1.07808	24731	24731
13.0	1.07808	16138	16138
14.0	1.07808	11722	11722
15.0	1.07808	8705	8705
16.0	1.07808	7149	7149
17.0	1.07808	5652	5652
18.0	1.07808	4806	4806
19.0	1.07808	3949	3949
20.0	1.07808	3350	3350
21.0	1.07808	2767	2767
22.0	1.07808	2393	2393
23.0	1.07808	2099	2099
24.0	1.07808	1843	1843
25.0	1.07808	1671	1671
26.0	1.07808	1401	1401
27.0	1.07808	1281	1281
28.0	1.07808	1118	1118
29.0	1.07808	1021	1021
30.0	1.07808	911	911
31.0	1.07808	903	903
32.0	1.07808	825	825
33.0	1.07808	707	707
34.0	1.07808	689	689
35.0	1.07808	607	607
36.0	1.07808	632	632
37.0	1.07808	556	556
38.0	1.07808	491	491
39.0	1.07808	419	419
40.0	1.07808	430	430
41.0	1.07808	382	382
42.0	1.07808	381	381
43.0	1.07808	320	320
44.0	1.07808	310	310
45.0	1.07808	281	281
46.0	1.07808	289	289
47.0	1.07808	251	251
48.0	1.07808	225	225
49.0	1.07808	220	220
50.0	1.07808	217	217
51.0	1.07808	179	179
52.0	1.07808	194	194
53.0	1.07808	195	195
54.0	1.07808	182	182
55.0	1.07808	154	154
56.0	1.07808	158	158
57.0	1.07808	159	159
58.0	1.07808	147	147
59.0	1.07808	127	127
60.0	1.07808	116	116
61.0	1.07808	137	137
62.0	1.07808	116	116
63.0	1.07808	108	108
64.0	1.07808	102	102
65.0	1.07808	104	104
66.0	1.07808	98	98
67.0	1.07808	88	88
68.0	1.07808	63	63
69.0	1.07808	72	72
70.0	1.07808	79	79
71.0	1.07808	80	80
72.0	1.07808	60	60
73.0	1.07808	65	65
74.0	1.07808	70	70
75.0	1.07808	71	71
76.0	1.07808	71	71
77.0	1.07808	63	63
78.0	1.07808	52	52
79.0	1.07808	49	49
80.0	1.07808	51	51
81.0	1.07808	56	56
82.0	1.07808	46	46
83.0	1.07808	30	30
84.0	1.07808	49	49
85.0	1.07808	53	53
86.0	1.07808	53	53
87.0	1.07808	44	44
