## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/group_umis/bam/S14_1_paired_end.bam --OUTPUT results/mark_duplicates/bam/S14_umi.bam --METRICS_FILE results/mark_duplicates/log/S14_umi.metrics.txt --TMP_DIR /mnt/tmp_local/lls_2382390/tmpb_c9y7ad --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jun 28 14:19:36 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	2	49160889	10253204	0	2	26953770	0	0.548277	26234909

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	9285255	9285255
2.0	1.153528	5967768	5967768
3.0	1.177099	3533665	3533665
4.0	1.180717	1834679	1834679
5.0	1.181273	862772	862772
6.0	1.181358	377683	377683
7.0	1.181371	161203	161203
8.0	1.181373	70705	70705
9.0	1.181374	34213	34213
10.0	1.181374	18557	18557
11.0	1.181374	11636	11636
12.0	1.181374	8230	8230
13.0	1.181374	6067	6067
14.0	1.181374	4574	4574
15.0	1.181374	3684	3684
16.0	1.181374	3059	3059
17.0	1.181374	2544	2544
18.0	1.181374	2114	2114
19.0	1.181374	1779	1779
20.0	1.181374	1490	1490
21.0	1.181374	1323	1323
22.0	1.181374	1180	1180
23.0	1.181374	1059	1059
24.0	1.181374	949	949
25.0	1.181374	810	810
26.0	1.181374	709	709
27.0	1.181374	625	625
28.0	1.181374	559	559
29.0	1.181374	503	503
30.0	1.181374	506	506
31.0	1.181374	402	402
32.0	1.181374	382	382
33.0	1.181374	338	338
34.0	1.181374	348	348
35.0	1.181374	334	334
36.0	1.181374	261	261
37.0	1.181374	273	273
38.0	1.181374	219	219
39.0	1.181374	196	196
40.0	1.181374	205	205
41.0	1.181374	197	197
42.0	1.181374	192	192
43.0	1.181374	185	185
44.0	1.181374	161	161
45.0	1.181374	166	166
46.0	1.181374	162	162
47.0	1.181374	149	149
48.0	1.181374	127	127
49.0	1.181374	120	120
50.0	1.181374	117	117
51.0	1.181374	105	105
52.0	1.181374	102	102
53.0	1.181374	98	98
54.0	1.181374	114	114
55.0	1.181374	97	97
56.0	1.181374	65	65
57.0	1.181374	79	79
58.0	1.181374	63	63
59.0	1.181374	50	50
60.0	1.181374	71	71
61.0	1.181374	48	48
62.0	1.181374	54	54
63.0	1.181374	56	56
64.0	1.181374	53	53
65.0	1.181374	53	53
66.0	1.181374	62	62
67.0	1.181374	62	62
68.0	1.181374	40	40
69.0	1.181374	56	56
70.0	1.181374	37	37
71.0	1.181374	36	36
72.0	1.181374	46	46
73.0	1.181374	38	38
74.0	1.181374	35	35
75.0	1.181374	26	26
76.0	1.181374	29	29
77.0	1.181374	30	30
78.0	1.181374	38	38
79.0	1.181374	31	31
80.0	1.181374	28	28
81.0	1.181374	37	37
82.0	1.181374	29	29
83.0	1.181374	25	25
84.0	1.181374	25	25
85.0	1.181374	19	19
86.0	1.181374	25	25
87.0	1.181374	14	14
88.0	1.181374	20	20
89.0	1.181374	19	19
90.0	1.181374	22	22
91.0	1.181374	18	18
92.0	1.181374	20	20
93.0	1.181374	16	16
94.0	1.181374	17	17
95.0	1.181374	18	18
96.0	1.181374	23	23
97.0	1.181374	20	20
98.0	1.181374	8	8
99.0	1.181374	15	15
100.0	1.181374	12	12
101.0	0	13	13
102.0	0	14	14
103.0	0	10	10
104.0	0	13	13
105.0	0	9	9
106.0	0	21	21
107.0	0	12	12
108.0	0	12	12
