## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/group_umis/bam/S15_1_paired_end.bam --OUTPUT results/mark_duplicates/bam/S15_umi.bam --METRICS_FILE results/mark_duplicates/log/S15_umi.metrics.txt --TMP_DIR /mnt/tmp_local/lls_2382412/tmph53wnvy_ --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jun 28 14:51:10 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	9	64108621	9846290	0	8	44145281	0	0.688601	20944518

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	5217567	5217567
2.0	1.046847	4119973	4119973
3.0	1.049041	3458029	3458029
4.0	1.049144	2630330	2630330
5.0	1.049149	1814978	1814978
6.0	1.049149	1155132	1155132
7.0	1.049149	686264	686264
8.0	1.049149	384228	384228
9.0	1.049149	207000	207000
10.0	1.049149	109732	109732
11.0	1.049149	59123	59123
12.0	1.049149	32564	32564
13.0	1.049149	19970	19970
14.0	1.049149	12919	12919
15.0	1.049149	9035	9035
16.0	1.049149	6605	6605
17.0	1.049149	5289	5289
18.0	1.049149	4181	4181
19.0	1.049149	3311	3311
20.0	1.049149	2935	2935
21.0	1.049149	2382	2382
22.0	1.049149	2068	2068
23.0	1.049149	1793	1793
24.0	1.049149	1533	1533
25.0	1.049149	1341	1341
26.0	1.049149	1225	1225
27.0	1.049149	1073	1073
28.0	1.049149	919	919
29.0	1.049149	895	895
30.0	1.049149	690	690
31.0	1.049149	663	663
32.0	1.049149	622	622
33.0	1.049149	554	554
34.0	1.049149	519	519
35.0	1.049149	463	463
36.0	1.049149	395	395
37.0	1.049149	389	389
38.0	1.049149	372	372
39.0	1.049149	325	325
40.0	1.049149	313	313
41.0	1.049149	270	270
42.0	1.049149	254	254
43.0	1.049149	260	260
44.0	1.049149	221	221
45.0	1.049149	231	231
46.0	1.049149	187	187
47.0	1.049149	177	177
48.0	1.049149	192	192
49.0	1.049149	169	169
50.0	1.049149	156	156
51.0	1.049149	136	136
52.0	1.049149	128	128
53.0	1.049149	126	126
54.0	1.049149	123	123
55.0	1.049149	124	124
56.0	1.049149	108	108
57.0	1.049149	101	101
58.0	1.049149	94	94
59.0	1.049149	103	103
60.0	1.049149	86	86
61.0	1.049149	78	78
62.0	1.049149	90	90
63.0	1.049149	87	87
64.0	1.049149	69	69
65.0	1.049149	73	73
66.0	1.049149	60	60
67.0	1.049149	58	58
68.0	1.049149	62	62
69.0	1.049149	60	60
70.0	1.049149	54	54
71.0	1.049149	57	57
72.0	1.049149	54	54
73.0	1.049149	49	49
74.0	1.049149	43	43
75.0	1.049149	52	52
76.0	1.049149	37	37
77.0	1.049149	43	43
78.0	1.049149	43	43
79.0	1.049149	30	30
80.0	1.049149	33	33
81.0	1.049149	36	36
82.0	1.049149	31	31
83.0	1.049149	36	36
84.0	1.049149	46	46
85.0	1.049149	28	28
86.0	1.049149	26	26
87.0	1.049149	28	28
88.0	1.049149	24	24
89.0	1.049149	23	23
90.0	1.049149	24	24
91.0	1.049149	22	22
92.0	1.049149	15	15
93.0	1.049149	18	18
94.0	1.049149	18	18
95.0	1.049149	19	19
96.0	1.049149	18	18
97.0	1.049149	17	17
98.0	1.049149	25	25
99.0	1.049149	19	19
100.0	1.049149	22	22
101.0	0	25	25
102.0	0	16	16
103.0	0	17	17
104.0	0	13	13
105.0	0	14	14
106.0	0	19	19
107.0	0	18	18
108.0	0	12	12
109.0	0	11	11
110.0	0	11	11
111.0	0	16	16
112.0	0	15	15
113.0	0	17	17
114.0	0	10	10
115.0	0	17	17
116.0	0	11	11
117.0	0	11	11
118.0	0	12	12
119.0	0	8	8
120.0	0	10	10
121.0	0	12	12
122.0	0	14	14
123.0	0	12	12
124.0	0	5	5
125.0	0	5	5
126.0	0	7	7
