## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/group_umis/bam/S17_1_paired_end.bam --OUTPUT results/mark_duplicates/bam/S17_umi.bam --METRICS_FILE results/mark_duplicates/log/S17_umi.metrics.txt --TMP_DIR /mnt/tmp_local/lls_2382484/tmpb9m43w9i --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jun 28 14:55:40 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	5	72703274	10476350	0	5	50805573	0	0.698807	22845474

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	5413972	5413972
2.0	1.041486	4347250	4347250
3.0	1.043207	3788927	3788927
4.0	1.043279	2972064	2972064
5.0	1.043282	2107974	2107974
6.0	1.043282	1366561	1366561
7.0	1.043282	824570	824570
8.0	1.043282	467967	467967
9.0	1.043282	255513	255513
10.0	1.043282	135786	135786
11.0	1.043282	72645	72645
12.0	1.043282	40949	40949
13.0	1.043282	24029	24029
14.0	1.043282	15746	15746
15.0	1.043282	10605	10605
16.0	1.043282	7929	7929
17.0	1.043282	6257	6257
18.0	1.043282	4760	4760
19.0	1.043282	3969	3969
20.0	1.043282	3328	3328
21.0	1.043282	2733	2733
22.0	1.043282	2393	2393
23.0	1.043282	2041	2041
24.0	1.043282	1742	1742
25.0	1.043282	1507	1507
26.0	1.043282	1374	1374
27.0	1.043282	1246	1246
28.0	1.043282	1056	1056
29.0	1.043282	895	895
30.0	1.043282	852	852
31.0	1.043282	768	768
32.0	1.043282	711	711
33.0	1.043282	610	610
34.0	1.043282	508	508
35.0	1.043282	498	498
36.0	1.043282	468	468
37.0	1.043282	379	379
38.0	1.043282	410	410
39.0	1.043282	341	341
40.0	1.043282	337	337
41.0	1.043282	316	316
42.0	1.043282	325	325
43.0	1.043282	238	238
44.0	1.043282	251	251
45.0	1.043282	254	254
46.0	1.043282	223	223
47.0	1.043282	205	205
48.0	1.043282	173	173
49.0	1.043282	200	200
50.0	1.043282	188	188
51.0	1.043282	133	133
52.0	1.043282	141	141
53.0	1.043282	154	154
54.0	1.043282	108	108
55.0	1.043282	134	134
56.0	1.043282	133	133
57.0	1.043282	112	112
58.0	1.043282	118	118
59.0	1.043282	83	83
60.0	1.043282	84	84
61.0	1.043282	102	102
62.0	1.043282	97	97
63.0	1.043282	91	91
64.0	1.043282	70	70
65.0	1.043282	76	76
66.0	1.043282	55	55
67.0	1.043282	69	69
68.0	1.043282	68	68
69.0	1.043282	54	54
70.0	1.043282	56	56
71.0	1.043282	54	54
72.0	1.043282	51	51
73.0	1.043282	40	40
74.0	1.043282	57	57
75.0	1.043282	28	28
76.0	1.043282	37	37
77.0	1.043282	44	44
78.0	1.043282	43	43
79.0	1.043282	46	46
80.0	1.043282	39	39
81.0	1.043282	37	37
82.0	1.043282	37	37
83.0	1.043282	32	32
84.0	1.043282	35	35
85.0	1.043282	32	32
86.0	1.043282	21	21
87.0	1.043282	35	35
