## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/group_umis/bam/S18_1_paired_end.bam --OUTPUT results/mark_duplicates/bam/S18_umi.bam --METRICS_FILE results/mark_duplicates/log/S18_umi.metrics.txt --TMP_DIR /mnt/tmp_local/lls_2382391/tmp4mw2xpsy --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jun 28 14:21:11 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	4	53080857	6738299	0	3	33818532	0	0.637114	20915318

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	6014291	6014291
2.0	1.079033	4597891	4597891
3.0	1.085279	3453428	3453428
4.0	1.085772	2295152	2295152
5.0	1.085811	1364736	1364736
6.0	1.085815	743982	743982
7.0	1.085815	379610	379610
8.0	1.085815	185974	185974
9.0	1.085815	90655	90655
10.0	1.085815	45163	45163
11.0	1.085815	24431	24431
12.0	1.085815	14512	14512
13.0	1.085815	9722	9722
14.0	1.085815	6823	6823
15.0	1.085815	5261	5261
16.0	1.085815	4024	4024
17.0	1.085815	3179	3179
18.0	1.085815	2644	2644
19.0	1.085815	2214	2214
20.0	1.085815	1849	1849
21.0	1.085815	1598	1598
22.0	1.085815	1388	1388
23.0	1.085815	1185	1185
24.0	1.085815	1045	1045
25.0	1.085815	930	930
26.0	1.085815	792	792
27.0	1.085815	702	702
28.0	1.085815	661	661
29.0	1.085815	554	554
30.0	1.085815	488	488
31.0	1.085815	474	474
32.0	1.085815	433	433
33.0	1.085815	382	382
34.0	1.085815	380	380
35.0	1.085815	324	324
36.0	1.085815	314	314
37.0	1.085815	283	283
38.0	1.085815	246	246
39.0	1.085815	240	240
40.0	1.085815	222	222
41.0	1.085815	200	200
42.0	1.085815	177	177
43.0	1.085815	182	182
44.0	1.085815	184	184
45.0	1.085815	153	153
46.0	1.085815	143	143
47.0	1.085815	131	131
48.0	1.085815	129	129
49.0	1.085815	119	119
50.0	1.085815	127	127
51.0	1.085815	122	122
52.0	1.085815	91	91
53.0	1.085815	87	87
54.0	1.085815	92	92
55.0	1.085815	66	66
56.0	1.085815	74	74
57.0	1.085815	74	74
58.0	1.085815	64	64
59.0	1.085815	68	68
60.0	1.085815	62	62
61.0	1.085815	61	61
62.0	1.085815	56	56
63.0	1.085815	47	47
64.0	1.085815	60	60
65.0	1.085815	50	50
66.0	1.085815	51	51
67.0	1.085815	45	45
68.0	1.085815	45	45
69.0	1.085815	28	28
70.0	1.085815	50	50
71.0	1.085815	30	30
72.0	1.085815	43	43
73.0	1.085815	37	37
74.0	1.085815	39	39
75.0	1.085815	25	25
76.0	1.085815	37	37
77.0	1.085815	29	29
78.0	1.085815	32	32
79.0	1.085815	23	23
80.0	1.085815	22	22
81.0	1.085815	22	22
82.0	1.085815	29	29
83.0	1.085815	24	24
84.0	1.085815	18	18
85.0	1.085815	30	30
86.0	1.085815	23	23
87.0	1.085815	29	29
88.0	1.085815	24	24
89.0	1.085815	18	18
90.0	1.085815	15	15
91.0	1.085815	13	13
92.0	1.085815	14	14
93.0	1.085815	21	21
94.0	1.085815	19	19
95.0	1.085815	20	20
96.0	1.085815	9	9
97.0	1.085815	15	15
98.0	1.085815	15	15
99.0	1.085815	15	15
100.0	1.085815	10	10
101.0	0	16	16
102.0	0	10	10
103.0	0	11	11
104.0	0	11	11
105.0	0	9	9
106.0	0	9	9
107.0	0	12	12
108.0	0	9	9
109.0	0	10	10
110.0	0	15	15
111.0	0	9	9
112.0	0	11	11
113.0	0	14	14
114.0	0	7	7
115.0	0	6	6
116.0	0	14	14
117.0	0	9	9
118.0	0	7	7
119.0	0	9	9
120.0	0	9	9
121.0	0	8	8
122.0	0	6	6
123.0	0	7	7
124.0	0	10	10
125.0	0	7	7
126.0	0	7	7
127.0	0	8	8
128.0	0	5	5
129.0	0	6	6
130.0	0	7	7
131.0	0	10	10
132.0	0	9	9
133.0	0	3	3
134.0	0	5	5
135.0	0	9	9
136.0	0	8	8
137.0	0	1	1
138.0	0	5	5
139.0	0	4	4
140.0	0	6	6
141.0	0	3	3
142.0	0	4	4
143.0	0	9	9
144.0	0	9	9
145.0	0	2	2
146.0	0	3	3
147.0	0	6	6
148.0	0	7	7
149.0	0	3	3
150.0	0	5	5
151.0	0	5	5
152.0	0	6	6
153.0	0	2	2
154.0	0	4	4
155.0	0	2	2
157.0	0	2	2
158.0	0	6	6
159.0	0	4	4
160.0	0	5	5
161.0	0	2	2
162.0	0	7	7
163.0	0	1	1
164.0	0	2	2
165.0	0	2	2
166.0	0	1	1
167.0	0	3	3
168.0	0	2	2
169.0	0	4	4
170.0	0	3	3
171.0	0	3	3
173.0	0	2	2
174.0	0	1	1
175.0	0	4	4
176.0	0	3	3
178.0	0	3	3
179.0	0	4	4
181.0	0	1	1
182.0	0	2	2
183.0	0	3	3
184.0	0	1	1
185.0	0	2	2
186.0	0	3	3
188.0	0	3	3
189.0	0	1	1
190.0	0	2	2
191.0	0	1	1
192.0	0	4	4
193.0	0	1	1
194.0	0	1	1
195.0	0	2	2
196.0	0	3	3
198.0	0	5	5
200.0	0	1	1
201.0	0	2	2
204.0	0	4	4
205.0	0	1	1
206.0	0	2	2
207.0	0	1	1
208.0	0	2	2
209.0	0	1	1
211.0	0	1	1
212.0	0	2	2
213.0	0	1	1
214.0	0	1	1
215.0	0	2	2
217.0	0	1	1
218.0	0	2	2
219.0	0	2	2
221.0	0	2	2
222.0	0	2	2
224.0	0	2	2
225.0	0	1	1
226.0	0	1	1
229.0	0	3	3
230.0	0	2	2
232.0	0	3	3
233.0	0	1	1
234.0	0	1	1
235.0	0	2	2
237.0	0	1	1
238.0	0	1	1
243.0	0	1	1
244.0	0	2	2
245.0	0	2	2
246.0	0	2	2
248.0	0	1	1
250.0	0	1	1
251.0	0	1	1
252.0	0	1	1
253.0	0	1	1
256.0	0	1	1
257.0	0	1	1
269.0	0	1	1
272.0	0	1	1
276.0	0	3	3
280.0	0	1	1
282.0	0	1	1
286.0	0	1	1
296.0	0	1	1
298.0	0	1	1
302.0	0	1	1
303.0	0	1	1
308.0	0	4	4
320.0	0	1	1
326.0	0	1	1
332.0	0	1	1
337.0	0	1	1
346.0	0	1	1
350.0	0	1	1
358.0	0	1	1
360.0	0	1	1
365.0	0	1	1
366.0	0	1	1
370.0	0	1	1
371.0	0	1	1
374.0	0	1	1
375.0	0	1	1
384.0	0	1	1
445.0	0	1	1
483.0	0	1	1
485.0	0	1	1
490.0	0	1	1
885.0	0	1	1

