## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/group_umis/bam/S19_1_paired_end.bam --OUTPUT results/mark_duplicates/bam/S19_umi.bam --METRICS_FILE results/mark_duplicates/log/S19_umi.metrics.txt --TMP_DIR /mnt/tmp_local/lls_2382490/tmp6rdknt8x --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jun 28 15:05:56 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	5	75061250	11218002	0	4	50682147	0	0.675211	25781563

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	6850005	6850005
2.0	1.054398	5206171	5206171
3.0	1.057357	4225610	4225610
4.0	1.057518	3112079	3112079
5.0	1.057527	2079032	2079032
6.0	1.057527	1271143	1271143
7.0	1.057527	727221	727221
8.0	1.057527	393144	393144
9.0	1.057527	206463	206463
10.0	1.057527	108097	108097
11.0	1.057527	58735	58735
12.0	1.057527	33629	33629
13.0	1.057527	21288	21288
14.0	1.057527	14476	14476
15.0	1.057527	10788	10788
16.0	1.057527	8165	8165
17.0	1.057527	6626	6626
18.0	1.057527	5261	5261
19.0	1.057527	4409	4409
20.0	1.057527	3625	3625
21.0	1.057527	3143	3143
22.0	1.057527	2695	2695
23.0	1.057527	2377	2377
24.0	1.057527	2056	2056
25.0	1.057527	1704	1704
26.0	1.057527	1554	1554
27.0	1.057527	1386	1386
28.0	1.057527	1289	1289
29.0	1.057527	1112	1112
30.0	1.057527	1043	1043
31.0	1.057527	869	869
32.0	1.057527	853	853
33.0	1.057527	771	771
34.0	1.057527	704	704
35.0	1.057527	644	644
36.0	1.057527	629	629
37.0	1.057527	545	545
38.0	1.057527	501	501
39.0	1.057527	473	473
40.0	1.057527	434	434
41.0	1.057527	391	391
42.0	1.057527	432	432
43.0	1.057527	352	352
44.0	1.057527	319	319
45.0	1.057527	288	288
46.0	1.057527	278	278
47.0	1.057527	255	255
48.0	1.057527	240	240
49.0	1.057527	250	250
50.0	1.057527	222	222
51.0	1.057527	207	207
52.0	1.057527	183	183
53.0	1.057527	201	201
54.0	1.057527	195	195
55.0	1.057527	164	164
56.0	1.057527	150	150
57.0	1.057527	129	129
58.0	1.057527	151	151
59.0	1.057527	132	132
60.0	1.057527	142	142
61.0	1.057527	130	130
62.0	1.057527	103	103
63.0	1.057527	106	106
64.0	1.057527	94	94
65.0	1.057527	112	112
66.0	1.057527	101	101
67.0	1.057527	109	109
68.0	1.057527	80	80
69.0	1.057527	79	79
70.0	1.057527	83	83
71.0	1.057527	79	79
72.0	1.057527	70	70
73.0	1.057527	81	81
74.0	1.057527	77	77
75.0	1.057527	72	72
76.0	1.057527	59	59
77.0	1.057527	56	56
78.0	1.057527	49	49
79.0	1.057527	53	53
80.0	1.057527	54	54
81.0	1.057527	44	44
82.0	1.057527	50	50
83.0	1.057527	40	40
84.0	1.057527	48	48
85.0	1.057527	50	50
86.0	1.057527	32	32
87.0	1.057527	44	44
