## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/group_umis/bam/S20_1_paired_end.bam --OUTPUT results/mark_duplicates/bam/S20_umi.bam --METRICS_FILE results/mark_duplicates/log/S20_umi.metrics.txt --TMP_DIR /mnt/tmp_local/lls_2382410/tmpzic16kfd --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jun 28 14:46:14 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	3	64881215	7773586	0	3	40592301	0	0.62564	26613402

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	7938001	7938001
2.0	1.087343	5956431	5956431
3.0	1.094972	4316591	4316591
4.0	1.095638	2760531	2760531
5.0	1.095696	1584124	1584124
6.0	1.095701	839972	839972
7.0	1.095702	421487	421487
8.0	1.095702	204915	204915
9.0	1.095702	99962	99962
10.0	1.095702	51712	51712
11.0	1.095702	29000	29000
12.0	1.095702	17978	17978
13.0	1.095702	12148	12148
14.0	1.095702	8801	8801
15.0	1.095702	6848	6848
16.0	1.095702	5345	5345
17.0	1.095702	4418	4418
18.0	1.095702	3562	3562
19.0	1.095702	2789	2789
20.0	1.095702	2477	2477
21.0	1.095702	2124	2124
22.0	1.095702	1775	1775
23.0	1.095702	1541	1541
24.0	1.095702	1424	1424
25.0	1.095702	1203	1203
26.0	1.095702	1028	1028
27.0	1.095702	947	947
28.0	1.095702	837	837
29.0	1.095702	758	758
30.0	1.095702	671	671
31.0	1.095702	609	609
32.0	1.095702	527	527
33.0	1.095702	525	525
34.0	1.095702	462	462
35.0	1.095702	413	413
36.0	1.095702	398	398
37.0	1.095702	405	405
38.0	1.095702	300	300
39.0	1.095702	295	295
40.0	1.095702	298	298
41.0	1.095702	247	247
42.0	1.095702	237	237
43.0	1.095702	249	249
44.0	1.095702	209	209
45.0	1.095702	192	192
46.0	1.095702	190	190
47.0	1.095702	168	168
48.0	1.095702	172	172
49.0	1.095702	157	157
50.0	1.095702	135	135
51.0	1.095702	125	125
52.0	1.095702	147	147
53.0	1.095702	129	129
54.0	1.095702	118	118
55.0	1.095702	107	107
56.0	1.095702	83	83
57.0	1.095702	97	97
58.0	1.095702	84	84
59.0	1.095702	87	87
60.0	1.095702	66	66
61.0	1.095702	82	82
62.0	1.095702	73	73
63.0	1.095702	76	76
64.0	1.095702	72	72
65.0	1.095702	67	67
66.0	1.095702	45	45
67.0	1.095702	55	55
68.0	1.095702	52	52
69.0	1.095702	55	55
70.0	1.095702	65	65
71.0	1.095702	45	45
72.0	1.095702	37	37
73.0	1.095702	41	41
74.0	1.095702	42	42
75.0	1.095702	46	46
76.0	1.095702	40	40
77.0	1.095702	42	42
78.0	1.095702	32	32
79.0	1.095702	31	31
80.0	1.095702	41	41
81.0	1.095702	33	33
82.0	1.095702	37	37
83.0	1.095702	32	32
84.0	1.095702	32	32
85.0	1.095702	23	23
86.0	1.095702	36	36
87.0	1.095702	24	24
88.0	1.095702	28	28
