## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/group_umis/bam/S21_1_paired_end.bam --OUTPUT results/mark_duplicates/bam/S21_umi.bam --METRICS_FILE results/mark_duplicates/log/S21_umi.metrics.txt --TMP_DIR /mnt/tmp_local/lls_2382400/tmpc2xj7x72 --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jun 28 14:33:59 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	3	61665097	8426012	0	3	43340321	0	0.702834	19077698

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	4582571	4582571
2.0	1.039466	3541662	3541662
3.0	1.041024	3081083	3081083
4.0	1.041085	2451475	2451475
5.0	1.041088	1771612	1771612
6.0	1.041088	1178253	1178253
7.0	1.041088	728169	728169
8.0	1.041088	424305	424305
9.0	1.041088	235979	235979
10.0	1.041088	128241	128241
11.0	1.041088	69342	69342
12.0	1.041088	38402	38402
13.0	1.041088	22594	22594
14.0	1.041088	14451	14451
15.0	1.041088	9867	9867
16.0	1.041088	7171	7171
17.0	1.041088	5462	5462
18.0	1.041088	4334	4334
19.0	1.041088	3597	3597
20.0	1.041088	2952	2952
21.0	1.041088	2419	2419
22.0	1.041088	2065	2065
23.0	1.041088	1790	1790
24.0	1.041088	1549	1549
25.0	1.041088	1335	1335
26.0	1.041088	1158	1158
27.0	1.041088	1002	1002
28.0	1.041088	891	891
29.0	1.041088	798	798
30.0	1.041088	744	744
31.0	1.041088	637	637
32.0	1.041088	567	567
33.0	1.041088	575	575
34.0	1.041088	467	467
35.0	1.041088	449	449
36.0	1.041088	419	419
37.0	1.041088	401	401
38.0	1.041088	341	341
39.0	1.041088	318	318
40.0	1.041088	271	271
41.0	1.041088	279	279
42.0	1.041088	257	257
43.0	1.041088	214	214
44.0	1.041088	204	204
45.0	1.041088	220	220
46.0	1.041088	190	190
47.0	1.041088	149	149
48.0	1.041088	131	131
49.0	1.041088	166	166
50.0	1.041088	158	158
51.0	1.041088	126	126
52.0	1.041088	132	132
53.0	1.041088	138	138
54.0	1.041088	99	99
55.0	1.041088	102	102
56.0	1.041088	103	103
57.0	1.041088	98	98
58.0	1.041088	89	89
59.0	1.041088	70	70
60.0	1.041088	86	86
61.0	1.041088	94	94
62.0	1.041088	82	82
63.0	1.041088	52	52
64.0	1.041088	51	51
65.0	1.041088	56	56
66.0	1.041088	52	52
67.0	1.041088	65	65
68.0	1.041088	48	48
69.0	1.041088	35	35
70.0	1.041088	47	47
71.0	1.041088	54	54
72.0	1.041088	43	43
73.0	1.041088	45	45
74.0	1.041088	27	27
75.0	1.041088	31	31
76.0	1.041088	44	44
77.0	1.041088	34	34
78.0	1.041088	34	34
79.0	1.041088	46	46
80.0	1.041088	22	22
81.0	1.041088	29	29
82.0	1.041088	29	29
83.0	1.041088	27	27
84.0	1.041088	26	26
85.0	1.041088	27	27
86.0	1.041088	35	35
87.0	1.041088	17	17
88.0	1.041088	19	19
89.0	1.041088	21	21
90.0	1.041088	24	24
91.0	1.041088	20	20
92.0	1.041088	20	20
93.0	1.041088	23	23
94.0	1.041088	17	17
95.0	1.041088	28	28
96.0	1.041088	14	14
97.0	1.041088	15	15
98.0	1.041088	19	19
99.0	1.041088	20	20
100.0	1.041088	14	14
101.0	0	13	13
102.0	0	17	17
103.0	0	17	17
104.0	0	13	13
105.0	0	8	8
106.0	0	13	13
107.0	0	12	12
108.0	0	11	11
109.0	0	9	9
110.0	0	15	15
111.0	0	11	11
112.0	0	11	11
113.0	0	9	9
114.0	0	9	9
115.0	0	14	14
116.0	0	7	7
117.0	0	8	8
118.0	0	9	9
119.0	0	7	7
120.0	0	12	12
121.0	0	10	10
122.0	0	13	13
123.0	0	12	12
124.0	0	3	3
125.0	0	3	3
126.0	0	7	7
127.0	0	10	10
128.0	0	5	5
129.0	0	7	7
130.0	0	5	5
131.0	0	1	1
132.0	0	3	3
133.0	0	11	11
134.0	0	4	4
135.0	0	6	6
136.0	0	4	4
137.0	0	4	4
138.0	0	8	8
139.0	0	9	9
140.0	0	4	4
141.0	0	2	2
142.0	0	6	6
143.0	0	4	4
144.0	0	6	6
145.0	0	5	5
146.0	0	10	10
147.0	0	4	4
148.0	0	2	2
149.0	0	7	7
150.0	0	1	1
151.0	0	6	6
152.0	0	4	4
153.0	0	4	4
154.0	0	5	5
