## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/group_umis/bam/S22_1_paired_end.bam --OUTPUT results/mark_duplicates/bam/S22_umi.bam --METRICS_FILE results/mark_duplicates/log/S22_umi.metrics.txt --TMP_DIR /mnt/tmp_local/lls_2382476/tmpfcoeyimy --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jun 28 14:55:40 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	2	67710557	10044518	0	1	45607494	0	0.673565	23398540

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	6215558	6215558
2.0	1.055366	4740168	4740168
3.0	1.058431	3831358	3831358
4.0	1.058601	2814315	2814315
5.0	1.05861	1876324	1876324
6.0	1.058611	1152417	1152417
7.0	1.058611	659835	659835
8.0	1.058611	357821	357821
9.0	1.058611	187398	187398
10.0	1.058611	98163	98163
11.0	1.058611	52671	52671
12.0	1.058611	29943	29943
13.0	1.058611	18423	18423
14.0	1.058611	12454	12454
15.0	1.058611	8936	8936
16.0	1.058611	6708	6708
17.0	1.058611	5212	5212
18.0	1.058611	4157	4157
19.0	1.058611	3424	3424
20.0	1.058611	2904	2904
21.0	1.058611	2349	2349
22.0	1.058611	2092	2092
23.0	1.058611	1781	1781
24.0	1.058611	1553	1553
25.0	1.058611	1385	1385
26.0	1.058611	1252	1252
27.0	1.058611	1075	1075
28.0	1.058611	904	904
29.0	1.058611	931	931
30.0	1.058611	831	831
31.0	1.058611	702	702
32.0	1.058611	640	640
33.0	1.058611	599	599
34.0	1.058611	508	508
35.0	1.058611	488	488
36.0	1.058611	457	457
37.0	1.058611	415	415
38.0	1.058611	377	377
39.0	1.058611	346	346
40.0	1.058611	300	300
41.0	1.058611	343	343
42.0	1.058611	282	282
43.0	1.058611	238	238
44.0	1.058611	235	235
45.0	1.058611	221	221
46.0	1.058611	216	216
47.0	1.058611	175	175
48.0	1.058611	205	205
49.0	1.058611	176	176
50.0	1.058611	172	172
51.0	1.058611	139	139
52.0	1.058611	145	145
53.0	1.058611	123	123
54.0	1.058611	123	123
55.0	1.058611	116	116
56.0	1.058611	114	114
57.0	1.058611	98	98
58.0	1.058611	114	114
59.0	1.058611	95	95
60.0	1.058611	79	79
61.0	1.058611	92	92
62.0	1.058611	79	79
63.0	1.058611	87	87
64.0	1.058611	69	69
65.0	1.058611	71	71
66.0	1.058611	74	74
67.0	1.058611	72	72
68.0	1.058611	67	67
69.0	1.058611	63	63
70.0	1.058611	56	56
71.0	1.058611	61	61
72.0	1.058611	51	51
73.0	1.058611	48	48
74.0	1.058611	58	58
75.0	1.058611	31	31
76.0	1.058611	43	43
77.0	1.058611	38	38
78.0	1.058611	42	42
79.0	1.058611	39	39
80.0	1.058611	36	36
81.0	1.058611	30	30
82.0	1.058611	34	34
83.0	1.058611	32	32
84.0	1.058611	28	28
85.0	1.058611	38	38
86.0	1.058611	30	30
87.0	1.058611	29	29
88.0	1.058611	22	22
89.0	1.058611	19	19
90.0	1.058611	31	31
91.0	1.058611	14	14
92.0	1.058611	20	20
93.0	1.058611	30	30
94.0	1.058611	25	25
95.0	1.058611	23	23
96.0	1.058611	28	28
97.0	1.058611	19	19
98.0	1.058611	18	18
99.0	1.058611	23	23
100.0	1.058611	17	17
101.0	0	15	15
102.0	0	11	11
103.0	0	24	24
104.0	0	11	11
105.0	0	13	13
106.0	0	24	24
107.0	0	13	13
108.0	0	18	18
109.0	0	16	16
110.0	0	20	20
111.0	0	13	13
112.0	0	11	11
113.0	0	9	9
114.0	0	10	10
115.0	0	13	13
116.0	0	12	12
117.0	0	10	10
118.0	0	7	7
119.0	0	9	9
120.0	0	15	15
121.0	0	12	12
