## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/group_umis/bam/S23_1_paired_end.bam --OUTPUT results/mark_duplicates/bam/S23_umi.bam --METRICS_FILE results/mark_duplicates/log/S23_umi.metrics.txt --TMP_DIR /mnt/tmp_local/lls_2382519/tmpx_sjwpuh --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jun 28 15:26:51 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	5	111535792	13330902	0	4	92054883	0	0.825339	19545894

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	3159836	3159836
2.0	1.003325	1794049	1794049
3.0	1.003336	1825679	1825679
4.0	1.003336	1879509	1879509
5.0	1.003336	1860521	1860521
6.0	1.003336	1760642	1760642
7.0	1.003336	1586251	1586251
8.0	1.003336	1364358	1364358
9.0	1.003336	1120350	1120350
10.0	1.003336	881716	881716
11.0	1.003336	667478	667478
12.0	1.003336	484894	484894
13.0	1.003336	341045	341045
14.0	1.003336	234111	234111
15.0	1.003336	156830	156830
16.0	1.003336	103516	103516
17.0	1.003336	67991	67991
18.0	1.003336	44601	44601
19.0	1.003336	30531	30531
20.0	1.003336	20955	20955
21.0	1.003336	14969	14969
22.0	1.003336	11403	11403
23.0	1.003336	8535	8535
24.0	1.003336	6968	6968
25.0	1.003336	5729	5729
26.0	1.003336	4751	4751
27.0	1.003336	4150	4150
28.0	1.003336	3552	3552
29.0	1.003336	3042	3042
30.0	1.003336	2687	2687
31.0	1.003336	2391	2391
32.0	1.003336	2099	2099
33.0	1.003336	1753	1753
34.0	1.003336	1654	1654
35.0	1.003336	1392	1392
36.0	1.003336	1376	1376
37.0	1.003336	1232	1232
38.0	1.003336	1120	1120
39.0	1.003336	991	991
40.0	1.003336	909	909
41.0	1.003336	853	853
42.0	1.003336	775	775
43.0	1.003336	707	707
44.0	1.003336	693	693
45.0	1.003336	607	607
46.0	1.003336	594	594
47.0	1.003336	535	535
48.0	1.003336	498	498
49.0	1.003336	454	454
50.0	1.003336	440	440
51.0	1.003336	370	370
52.0	1.003336	350	350
53.0	1.003336	374	374
54.0	1.003336	345	345
55.0	1.003336	340	340
56.0	1.003336	298	298
57.0	1.003336	288	288
58.0	1.003336	262	262
59.0	1.003336	248	248
60.0	1.003336	210	210
61.0	1.003336	215	215
62.0	1.003336	204	204
63.0	1.003336	200	200
64.0	1.003336	166	166
65.0	1.003336	201	201
66.0	1.003336	166	166
67.0	1.003336	145	145
68.0	1.003336	150	150
69.0	1.003336	153	153
70.0	1.003336	151	151
71.0	1.003336	141	141
72.0	1.003336	136	136
73.0	1.003336	119	119
74.0	1.003336	121	121
75.0	1.003336	111	111
76.0	1.003336	124	124
77.0	1.003336	85	85
78.0	1.003336	102	102
79.0	1.003336	103	103
80.0	1.003336	90	90
81.0	1.003336	80	80
82.0	1.003336	84	84
83.0	1.003336	89	89
84.0	1.003336	80	80
85.0	1.003336	81	81
86.0	1.003336	83	83
