## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/group_umis/bam/S24_1_paired_end.bam --OUTPUT results/mark_duplicates/bam/S24_umi.bam --METRICS_FILE results/mark_duplicates/log/S24_umi.metrics.txt --TMP_DIR /mnt/tmp_local/lls_2382525/tmp9z3klaey --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jun 28 15:33:12 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	3	110869399	15442312	0	2	68932610	0	0.621746	46097296

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	14226486	14226486
2.0	1.090255	10294114	10294114
3.0	1.098401	7304684	7304684
4.0	1.099136	4603712	4603712
5.0	1.099202	2618556	2618556
6.0	1.099208	1378920	1378920
7.0	1.099209	687259	687259
8.0	1.099209	335356	335356
9.0	1.099209	167479	167479
10.0	1.099209	89463	89463
11.0	1.099209	52257	52257
12.0	1.099209	34110	34110
13.0	1.099209	23996	23996
14.0	1.099209	17769	17769
15.0	1.099209	13715	13715
16.0	1.099209	10968	10968
17.0	1.099209	8702	8702
18.0	1.099209	7307	7307
19.0	1.099209	6419	6419
20.0	1.099209	5352	5352
21.0	1.099209	4366	4366
22.0	1.099209	3962	3962
23.0	1.099209	3457	3457
24.0	1.099209	3082	3082
25.0	1.099209	2622	2622
26.0	1.099209	2306	2306
27.0	1.099209	2092	2092
28.0	1.099209	1969	1969
29.0	1.099209	1688	1688
30.0	1.099209	1500	1500
31.0	1.099209	1395	1395
32.0	1.099209	1269	1269
33.0	1.099209	1174	1174
34.0	1.099209	1068	1068
35.0	1.099209	1006	1006
36.0	1.099209	919	919
37.0	1.099209	824	824
38.0	1.099209	760	760
39.0	1.099209	716	716
40.0	1.099209	681	681
41.0	1.099209	625	625
42.0	1.099209	579	579
43.0	1.099209	533	533
44.0	1.099209	456	456
45.0	1.099209	470	470
46.0	1.099209	467	467
47.0	1.099209	419	419
48.0	1.099209	368	368
49.0	1.099209	359	359
50.0	1.099209	355	355
51.0	1.099209	328	328
52.0	1.099209	282	282
53.0	1.099209	294	294
54.0	1.099209	284	284
55.0	1.099209	270	270
56.0	1.099209	217	217
57.0	1.099209	242	242
58.0	1.099209	232	232
59.0	1.099209	219	219
60.0	1.099209	224	224
61.0	1.099209	192	192
62.0	1.099209	167	167
63.0	1.099209	165	165
64.0	1.099209	176	176
65.0	1.099209	150	150
66.0	1.099209	148	148
67.0	1.099209	168	168
68.0	1.099209	164	164
69.0	1.099209	131	131
70.0	1.099209	142	142
71.0	1.099209	136	136
72.0	1.099209	131	131
73.0	1.099209	101	101
74.0	1.099209	115	115
75.0	1.099209	111	111
76.0	1.099209	89	89
77.0	1.099209	103	103
78.0	1.099209	106	106
79.0	1.099209	94	94
80.0	1.099209	82	82
81.0	1.099209	76	76
82.0	1.099209	73	73
83.0	1.099209	69	69
84.0	1.099209	85	85
85.0	1.099209	77	77
86.0	1.099209	71	71
