## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/group_umis/bam/S26_1_paired_end.bam --OUTPUT results/mark_duplicates/bam/S26_umi.bam --METRICS_FILE results/mark_duplicates/log/S26_umi.metrics.txt --TMP_DIR /mnt/tmp_local/lls_2382399/tmpvzabpy38 --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jun 28 14:30:31 ACST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1	61802025	9628484	0	1	48341356	0	0.782197	13605535

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	2666486	2666486
2.0	1.010648	1759904	1759904
3.0	1.010761	1655359	1655359
4.0	1.010762	1540182	1540182
5.0	1.010762	1376735	1376735
6.0	1.010762	1170627	1170627
7.0	1.010762	949915	949915
8.0	1.010762	730485	730485
9.0	1.010762	535518	535518
10.0	1.010762	373322	373322
11.0	1.010762	248790	248790
12.0	1.010762	160738	160738
13.0	1.010762	101298	101298
14.0	1.010762	62045	62045
15.0	1.010762	37924	37924
16.0	1.010762	23537	23537
17.0	1.010762	15143	15143
18.0	1.010762	9765	9765
19.0	1.010762	6879	6879
20.0	1.010762	5189	5189
21.0	1.010762	3951	3951
22.0	1.010762	3075	3075
23.0	1.010762	2577	2577
24.0	1.010762	2184	2184
25.0	1.010762	1775	1775
26.0	1.010762	1566	1566
27.0	1.010762	1346	1346
28.0	1.010762	1197	1197
29.0	1.010762	1094	1094
30.0	1.010762	970	970
31.0	1.010762	794	794
32.0	1.010762	748	748
33.0	1.010762	628	628
34.0	1.010762	535	535
35.0	1.010762	547	547
36.0	1.010762	470	470
37.0	1.010762	420	420
38.0	1.010762	384	384
39.0	1.010762	353	353
40.0	1.010762	348	348
41.0	1.010762	342	342
42.0	1.010762	291	291
43.0	1.010762	273	273
44.0	1.010762	233	233
45.0	1.010762	228	228
46.0	1.010762	213	213
47.0	1.010762	208	208
48.0	1.010762	191	191
49.0	1.010762	170	170
50.0	1.010762	159	159
51.0	1.010762	152	152
52.0	1.010762	139	139
53.0	1.010762	145	145
54.0	1.010762	127	127
55.0	1.010762	121	121
56.0	1.010762	109	109
57.0	1.010762	98	98
58.0	1.010762	104	104
59.0	1.010762	78	78
60.0	1.010762	93	93
61.0	1.010762	90	90
62.0	1.010762	70	70
63.0	1.010762	79	79
64.0	1.010762	78	78
65.0	1.010762	70	70
66.0	1.010762	52	52
67.0	1.010762	72	72
68.0	1.010762	53	53
69.0	1.010762	63	63
70.0	1.010762	65	65
71.0	1.010762	56	56
72.0	1.010762	56	56
73.0	1.010762	43	43
74.0	1.010762	45	45
75.0	1.010762	44	44
76.0	1.010762	42	42
77.0	1.010762	41	41
78.0	1.010762	45	45
79.0	1.010762	36	36
80.0	1.010762	43	43
81.0	1.010762	28	28
82.0	1.010762	37	37
83.0	1.010762	36	36
84.0	1.010762	27	27
85.0	1.010762	33	33
86.0	1.010762	28	28
87.0	1.010762	23	23
88.0	1.010762	31	31
89.0	1.010762	28	28
90.0	1.010762	21	21
91.0	1.010762	22	22
92.0	1.010762	21	21
93.0	1.010762	22	22
94.0	1.010762	21	21
95.0	1.010762	12	12
96.0	1.010762	19	19
97.0	1.010762	13	13
98.0	1.010762	21	21
99.0	1.010762	21	21
100.0	1.010762	13	13
101.0	0	12	12
102.0	0	14	14
103.0	0	22	22
104.0	0	12	12
105.0	0	12	12
106.0	0	11	11
107.0	0	16	16
108.0	0	19	19
109.0	0	13	13
110.0	0	17	17
111.0	0	11	11
112.0	0	12	12
113.0	0	19	19
114.0	0	16	16
115.0	0	13	13
116.0	0	12	12
117.0	0	5	5
118.0	0	18	18
119.0	0	11	11
120.0	0	15	15
121.0	0	10	10
122.0	0	18	18
123.0	0	15	15
124.0	0	12	12
125.0	0	10	10
126.0	0	12	12
127.0	0	6	6
128.0	0	11	11
129.0	0	12	12
130.0	0	5	5
131.0	0	5	5
132.0	0	8	8
133.0	0	11	11
134.0	0	6	6
135.0	0	4	4
136.0	0	6	6
137.0	0	8	8
138.0	0	9	9
139.0	0	7	7
140.0	0	8	8
141.0	0	5	5
142.0	0	3	3
143.0	0	3	3
144.0	0	9	9
145.0	0	7	7
146.0	0	4	4
147.0	0	9	9
148.0	0	4	4
149.0	0	4	4
150.0	0	4	4
151.0	0	6	6
152.0	0	2	2
153.0	0	5	5
154.0	0	2	2
155.0	0	3	3
156.0	0	4	4
157.0	0	2	2
158.0	0	11	11
159.0	0	1	1
160.0	0	4	4
161.0	0	2	2
162.0	0	6	6
163.0	0	1	1
164.0	0	6	6
165.0	0	3	3
166.0	0	3	3
167.0	0	3	3
168.0	0	5	5
169.0	0	6	6
170.0	0	5	5
171.0	0	3	3
172.0	0	1	1
173.0	0	4	4
174.0	0	2	2
175.0	0	4	4
177.0	0	1	1
178.0	0	1	1
179.0	0	1	1
180.0	0	4	4
182.0	0	2	2
183.0	0	3	3
184.0	0	1	1
185.0	0	1	1
186.0	0	2	2
187.0	0	3	3
189.0	0	1	1
190.0	0	2	2
191.0	0	5	5
192.0	0	2	2
194.0	0	3	3
195.0	0	1	1
196.0	0	1	1
197.0	0	2	2
198.0	0	3	3
199.0	0	2	2
200.0	0	1	1
201.0	0	2	2
202.0	0	2	2
203.0	0	1	1
208.0	0	1	1
209.0	0	3	3
210.0	0	1	1
211.0	0	3	3
213.0	0	3	3
214.0	0	1	1
215.0	0	2	2
216.0	0	2	2
219.0	0	1	1
220.0	0	1	1
222.0	0	3	3
223.0	0	1	1
224.0	0	1	1
226.0	0	1	1
228.0	0	3	3
229.0	0	2	2
230.0	0	2	2
231.0	0	4	4
233.0	0	1	1
235.0	0	1	1
236.0	0	1	1
237.0	0	3	3
241.0	0	1	1
243.0	0	1	1
244.0	0	1	1
245.0	0	1	1
246.0	0	2	2
251.0	0	1	1
252.0	0	1	1
253.0	0	1	1
255.0	0	1	1
257.0	0	2	2
259.0	0	2	2
260.0	0	1	1
261.0	0	2	2
262.0	0	1	1
264.0	0	1	1
266.0	0	1	1
267.0	0	2	2
270.0	0	1	1
271.0	0	1	1
276.0	0	2	2
277.0	0	2	2
279.0	0	1	1
280.0	0	1	1
282.0	0	1	1
283.0	0	3	3
286.0	0	2	2
287.0	0	1	1
