gs_cat,gs_subcat,gs_name,gene_symbol,entrez_gene,ensembl_gene,human_gene_symbol,human_entrez_gene,human_ensembl_gene,gs_id,gs_pmid,gs_geoid,gs_exact_source,gs_url,gs_description,taxon_id,ortholog_sources,num_ortholog_sources
C2,CP:WIKIPATHWAYS,15Q112_COPY_NUMBER_VARIATION_SYNDROME,cyfip1,336613,ENSDARG00000044345,CYFIP1,23191,ENSG00000273749,M39879,,,WP4940,http://www.wikipathways.org/instance/WP4940_r115775,15q11.2 copy number variation syndrome,7955,Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|ZFIN,8
C2,CP:WIKIPATHWAYS,15Q112_COPY_NUMBER_VARIATION_SYNDROME,fmr1,259191,ENSDARG00000037433,FMR1,2332,ENSG00000102081,M39879,,,WP4940,http://www.wikipathways.org/instance/WP4940_r115775,15q11.2 copy number variation syndrome,7955,EggNOG|Ensembl|HomoloGene|NCBI|OMA|OrthoDB|Panther|ZFIN,8
C2,CP:WIKIPATHWAYS,15Q112_COPY_NUMBER_VARIATION_SYNDROME,nipa1,450042,ENSDARG00000055917,NIPA1,123606,ENSG00000170113,M39879,,,WP4940,http://www.wikipathways.org/instance/WP4940_r115775,15q11.2 copy number variation syndrome,7955,EggNOG|Ensembl|HomoloGene|Inparanoid|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam|ZFIN,11
C2,CP:WIKIPATHWAYS,15Q112_COPY_NUMBER_VARIATION_SYNDROME,nipa2,406399,ENSDARG00000055912,NIPA2,81614,ENSG00000140157,M39879,,,WP4940,http://www.wikipathways.org/instance/WP4940_r115775,15q11.2 copy number variation syndrome,7955,EggNOG|Ensembl|HomoloGene|Inparanoid|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam|ZFIN,11
C2,CP:WIKIPATHWAYS,15Q112_COPY_NUMBER_VARIATION_SYNDROME,tubgcp2,386975,ENSDARG00000013079,TUBGCP2,10844,ENSG00000130640,M39879,,,WP4940,http://www.wikipathways.org/instance/WP4940_r115775,15q11.2 copy number variation syndrome,7955,EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam|ZFIN,11
C2,CP:WIKIPATHWAYS,15Q112_COPY_NUMBER_VARIATION_SYNDROME,tubgcp3,563517,ENSDARG00000029133,TUBGCP3,10426,ENSG00000126216,M39879,,,WP4940,http://www.wikipathways.org/instance/WP4940_r115775,15q11.2 copy number variation syndrome,7955,EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam|ZFIN,11
C2,CP:WIKIPATHWAYS,15Q112_COPY_NUMBER_VARIATION_SYNDROME,tubgcp4,557155,ENSDARG00000005374,TUBGCP4,27229,ENSG00000137822,M39879,,,WP4940,http://www.wikipathways.org/instance/WP4940_r115775,15q11.2 copy number variation syndrome,7955,EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam|ZFIN,11
C2,CP:WIKIPATHWAYS,15Q112_COPY_NUMBER_VARIATION_SYNDROME,tubgcp5,553191,ENSDARG00000077442,TUBGCP5,114791,ENSG00000275835,M39879,,,WP4940,http://www.wikipathways.org/instance/WP4940_r115775,15q11.2 copy number variation syndrome,7955,EggNOG|Ensembl|HomoloGene|Inparanoid|OMA|OrthoDB|OrthoMCL|Panther|ZFIN,9
C2,CP:WIKIPATHWAYS,15Q112_COPY_NUMBER_VARIATION_SYNDROME,tubgcp6,100329494,ENSDARG00000100151,TUBGCP6,85378,ENSG00000128159,M39879,,,WP4940,http://www.wikipathways.org/instance/WP4940_r115775,15q11.2 copy number variation syndrome,7955,Ensembl|OMA|OrthoMCL|ZFIN,4
C2,CP:WIKIPATHWAYS,15Q133_COPY_NUMBER_VARIATION_SYNDROME,chrna7a,394199,ENSDARG00000101702,CHRFAM7A,89832,ENSG00000166664,M39883,,,WP4942,http://www.wikipathways.org/instance/WP4942_r115789,15q13.3 copy number variation syndrome,7955,Ensembl|OMA|OrthoDB|OrthoMCL|Panther,5
C2,CP:WIKIPATHWAYS,15Q133_COPY_NUMBER_VARIATION_SYNDROME,crebbpa,566841,ENSDARG00000104609,CREBBP,1387,ENSG00000005339,M39883,,,WP4942,http://www.wikipathways.org/instance/WP4942_r115789,15q13.3 copy number variation syndrome,7955,Ensembl|HomoloGene|OMA|OrthoDB|OrthoMCL|Panther|ZFIN,7
C2,CP:WIKIPATHWAYS,15Q133_COPY_NUMBER_VARIATION_SYNDROME,fan1,565458,ENSDARG00000062269,FAN1,22909,ENSG00000198690,M39883,,,WP4942,http://www.wikipathways.org/instance/WP4942_r115789,15q13.3 copy number variation syndrome,7955,EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam|ZFIN,10
